  15  39 P  2   -12.874     0.103   -13.410     2.780   0.235           0.035   0.001
  15  40 P  2    -8.107     0.139    -8.350     2.650   0.245          -0.003  -0.001
  15  41 P  2    -5.277     0.216    -5.480     1.990   0.239          -0.053  -0.006
  15  42 P  2     0.939     0.447     0.620     1.940   0.163          -0.031  -0.001
  15  43 P  2     5.766     0.969     3.190     0.010  -0.274           0.136  -0.005
  15  44 P  1    12.100     0.699    11.640     1.450   0.153          -0.007   0.000
  15  45 P  1    17.903     0.801    17.180     1.640   0.199          -0.019  -0.001
  15  46 P  1    25.504     0.904    24.860     1.540   0.199          -0.034  -0.003
  15  47 P  0                        29.180    -0.260   0.110          -0.265  -0.022
  15  48 P  0                        39.810     1.890  -0.300          -0.020   0.000
  15  49 P  0                        46.600     1.870  -0.325          -0.029   0.000
  15  50 P  0                        56.550     2.710  -0.399          -0.030   0.004
  15  51 P  0                        64.340     3.070  -0.406           0.008   0.004
  15  52 P  0                        73.740     2.800   0.447          -0.065  -0.016
  15  53 P  0                        81.710     2.760   0.457          -0.069  -0.018
  15  54 P  0                        91.060     1.920   0.460          -0.094  -0.023
  15  55 P  0                        98.860     1.190   0.486          -0.124  -0.032
  15  56 P  0                       109.640     1.300   0.524          -0.097  -0.031
  15  57 P  0                       118.580     1.240   0.588          -0.088  -0.037
  16  24 S  0                        55.740     0.060   0.000           0.000   0.000
  16  25 S  0                        43.400     1.860   0.000           0.000   0.000
  16  26 S  1    25.970     0.298    27.740     2.940   0.000  -0.031   0.000   0.000
  16  27 S  1    17.543     0.202    17.220     2.850   0.340          -0.104  -0.016
  16  28 S  2     4.073     0.160     3.880     2.560   0.346          -0.159  -0.024
  16  29 S  2    -3.160     0.050    -2.700     3.320   0.303          -0.125  -0.016
  16  30 S  2   -14.063     0.003   -12.300     3.730   0.000           0.000   0.000
  16  31 S  2   -19.045     0.002   -16.590     4.180   0.000           0.000   0.000
  16  32 S  2   -26.016     0.000   -23.750     4.460   0.000           0.000   0.000
  16  33 S  2   -26.586     0.000   -24.370     4.560   0.000           0.000   0.000
  16  34 S  2   -29.932     0.000   -28.320     4.150   0.000           0.000   0.000
  16  35 S  2   -28.846     0.000   -27.570     3.930   0.000           0.000   0.000
  16  36 S  2   -30.664     0.000   -29.950     3.390   0.000           0.000   0.000
  16  37 S  2   -26.896     0.000   -27.260     3.650   0.000           0.000   0.000
  16  38 S  2   -26.861     0.007   -27.780     3.490   0.000           0.000   0.000
  16  39 S  2   -23.162     0.050   -24.300     3.260   0.197           0.029   0.001
